vehicle_id,vehicle_type,model,year,location,acquired_date
SFBFB1,Full-Size,Chrysler 300,2022,South,2023-01-10
VGURE8,Compact,Toyota Corolla,2019,South,2023-01-03
713T2T,SUV,Ford Explorer,2022,Central,2023-02-27
FG4Q0F,Compact,Hyundai Elantra,2023,North,2023-01-07
QDHDHV,Mid-Size,Honda Accord,2020,Central,2023-01-25
AGYFU5,Full-Size,Chrysler 300,2020,Central,2023-03-13
2EFZMP,Mid-Size,Honda Accord,2020,South,2023-02-14
RUQADA,Full-Size,Chrysler 300,2020,West,2023-02-03
J38RAC,Full-Size,Chrysler 300,2020,West,2023-01-27
3M5S5E,Truck,Chevrolet Silverado,2021,East,2023-03-02
4TPTLV,Truck,Ram 1500,2023,West,2023-03-27
139O15,Mid-Size,Honda Accord,2023,North,2023-03-08
ARZQDX,Compact,Hyundai Elantra,2023,East,2023-02-02
OWAAV9,Full-Size,Ford Taurus,2018,East,2023-02-07
X74KDU,Truck,Ram 1500,2019,East,2023-01-10
W1S74V,Mid-Size,Honda Accord,2022,Central,2023-01-13
TA2Y6D,Mid-Size,Honda Accord,2021,Central,2023-01-25
FYRVPX,Mid-Size,Honda Accord,2020,West,2023-02-04
XG1RUW,Compact,Hyundai Elantra,2019,East,2023-03-31
0KAG8I,Full-Size,Chrysler 300,2018,East,2023-03-20
I4IQNX,Mid-Size,Nissan Altima,2019,North,2023-01-11
VSS4US,SUV,Toyota RAV4,2020,East,2023-01-30
5D4HLA,SUV,Ford Explorer,2020,South,2023-01-06
U3NXO1,SUV,Toyota RAV4,2021,Central,2023-01-06
9ZM3B9,Mid-Size,Nissan Altima,2019,West,2023-02-03
4XWJPD,Mid-Size,Toyota Camry,2019,Central,2023-03-28
MVN14U,Full-Size,Chrysler 300,2023,Central,2023-01-17
MKTZEQ,SUV,Chevrolet Equinox,2020,East,2023-03-03
PKI4PU,Mid-Size,Toyota Camry,2019,East,2023-02-05
BKIL4U,SUV,Ford Explorer,2021,West,2023-02-18
6P1F3V,Compact,Honda Civic,2021,East,2023-03-20
BYRA4T,SUV,Ford Explorer,2021,South,2023-03-16
VUDLZM,Compact,Hyundai Elantra,2019,West,2023-03-16
5LQQA3,Compact,Hyundai Elantra,2022,East,2023-02-07
EQ69IN,Mid-Size,Nissan Altima,2019,Central,2023-01-05
UZJT41,Compact,Honda Civic,2023,South,2023-03-30
355S9R,Compact,Honda Civic,2020,East,2023-03-31
Z7B739,Compact,Hyundai Elantra,2020,East,2023-03-19
1FKAVP,Mid-Size,Nissan Altima,2020,Central,2023-02-12
R03C7N,SUV,Ford Explorer,2020,East,2023-01-26
1UPHG0,Compact,Honda Civic,2021,North,2023-01-16
LIA4OM,Full-Size,Chrysler 300,2020,South,2023-02-03
NVRTKK,SUV,Toyota RAV4,2018,Central,2023-01-31
5P94ZT,Compact,Hyundai Elantra,2021,South,2023-01-25
4CRZDG,Compact,Toyota Corolla,2019,South,2023-03-27
CRTQBR,SUV,Chevrolet Equinox,2018,North,2023-03-01
5B1JCB,SUV,Ford Explorer,2023,West,2023-01-21
AORWCX,Mid-Size,Nissan Altima,2019,North,2023-02-27
0CYEPX,SUV,Chevrolet Equinox,2021,South,2023-03-05
5TP4HH,Compact,Toyota Corolla,2019,West,2023-02-17
QEANFW,Mid-Size,Toyota Camry,2020,Central,2023-03-27
TRRDOC,Full-Size,Chrysler 300,2020,South,2023-03-28
MY9KJY,Mid-Size,Nissan Altima,2018,South,2023-02-08
7K4LXH,SUV,Toyota RAV4,2023,North,2023-02-12
J9OA1E,Mid-Size,Nissan Altima,2019,East,2023-01-20
D4ME9K,SUV,Toyota RAV4,2021,Central,2023-03-12
WJUZ1O,Mid-Size,Nissan Altima,2021,South,2023-03-25
W440OT,Mid-Size,Nissan Altima,2020,South,2023-03-01
8IY2R5,Compact,Hyundai Elantra,2021,South,2023-01-19
P4XB3Z,Compact,Honda Civic,2021,Central,2023-02-16
IZS7KJ,SUV,Toyota RAV4,2018,East,2023-03-13
C29YN5,Compact,Hyundai Elantra,2022,West,2023-01-04
JYV48M,Compact,Toyota Corolla,2018,West,2023-02-23
DF0NF3,Compact,Hyundai Elantra,2020,West,2023-03-01
XEZW99,Compact,Honda Civic,2020,East,2023-02-18
962YT2,SUV,Ford Explorer,2020,East,2023-02-27
8EERKT,Mid-Size,Toyota Camry,2018,East,2023-03-22
L26K1D,Truck,Ford F-150,2022,North,2023-01-12
2ZZRD4,Compact,Hyundai Elantra,2020,East,2023-02-21
DRG4US,Full-Size,Chrysler 300,2018,Central,2023-03-13
L2HZ8J,Mid-Size,Toyota Camry,2018,North,2023-03-15
YL76LI,Mid-Size,Honda Accord,2021,Central,2023-02-12
CZ7F31,SUV,Chevrolet Equinox,2021,East,2023-03-31
QIXV3U,Truck,Chevrolet Silverado,2021,South,2023-01-30
BHNRM5,SUV,Chevrolet Equinox,2022,North,2023-02-09
KYN962,Compact,Hyundai Elantra,2022,West,2023-03-16
1XVUA7,Compact,Honda Civic,2023,North,2023-02-09
9S5OE4,Full-Size,Ford Taurus,2023,East,2023-01-31
S7HRYE,Mid-Size,Honda Accord,2023,North,2023-02-20
9VG05N,Full-Size,Ford Taurus,2022,Central,2023-02-25
V0FTUK,Full-Size,Chrysler 300,2020,North,2023-03-29
KW1OF2,Full-Size,Ford Taurus,2021,Central,2023-02-25
GAL31L,SUV,Toyota RAV4,2021,East,2023-01-17
S8Z1DI,Full-Size,Ford Taurus,2019,North,2023-01-05
D9MRTS,Compact,Hyundai Elantra,2022,West,2023-03-29
B6N71Z,Compact,Hyundai Elantra,2021,Central,2023-02-08
Z9KLYI,Full-Size,Chrysler 300,2021,South,2023-01-19
2B6MAV,Mid-Size,Honda Accord,2023,Central,2023-01-21
JKRUEB,Mid-Size,Honda Accord,2022,West,2023-01-10
QMU0WD,Mid-Size,Honda Accord,2023,West,2023-01-18
9ZB15U,SUV,Chevrolet Equinox,2023,South,2023-03-12
3588GB,SUV,Toyota RAV4,2022,North,2023-02-28
XYUI8O,Full-Size,Chrysler 300,2019,East,2023-02-23
0W6ZW4,Mid-Size,Nissan Altima,2019,Central,2023-01-02
BZV1IV,Mid-Size,Nissan Altima,2019,East,2023-03-02
KEUADT,Mid-Size,Nissan Altima,2022,West,2023-03-29
6ZADPP,Mid-Size,Honda Accord,2023,West,2023-03-25
BJEUXO,Full-Size,Chevrolet Impala,2023,South,2023-02-05
UH4ASL,Full-Size,Ford Taurus,2022,North,2023-02-24
QSX7UI,Compact,Hyundai Elantra,2022,Central,2023-01-27
SS5U5X,Compact,Hyundai Elantra,2023,West,2023-03-21
ULJDT7,Compact,Honda Civic,2022,East,2023-03-24
A84PLU,SUV,Toyota RAV4,2018,East,2023-01-21
4BQBXC,Full-Size,Chevrolet Impala,2021,Central,2023-02-13
L01ISG,Compact,Honda Civic,2020,West,2023-01-22
VA3AVO,SUV,Toyota RAV4,2021,West,2023-02-25
ITFUXQ,Mid-Size,Honda Accord,2021,West,2023-01-27
NQ81AK,Mid-Size,Nissan Altima,2019,South,2023-03-04
AI24QY,Truck,Chevrolet Silverado,2019,West,2023-03-30
NR3JLE,Compact,Honda Civic,2018,Central,2023-03-20
HB34PV,Compact,Honda Civic,2019,South,2023-01-17
IBSF4K,Full-Size,Chrysler 300,2022,East,2023-01-12
0JETGO,Compact,Toyota Corolla,2021,West,2023-03-15
K5SZV6,Full-Size,Chevrolet Impala,2023,East,2023-01-08
P567Z9,Compact,Honda Civic,2023,Central,2023-02-06
0LFHUF,Compact,Toyota Corolla,2023,East,2023-03-31
IWLY9D,Compact,Honda Civic,2019,South,2023-02-10
X3F2SW,Mid-Size,Honda Accord,2020,North,2023-01-01
BPNF1S,Compact,Toyota Corolla,2018,Central,2023-03-29
5F0VXL,Compact,Honda Civic,2018,West,2023-03-05
YI1PRU,SUV,Chevrolet Equinox,2019,East,2023-01-30
DNH8PA,Mid-Size,Nissan Altima,2019,East,2023-02-24
A6FAHH,Mid-Size,Toyota Camry,2018,East,2023-02-25
C9C04X,Compact,Hyundai Elantra,2023,Central,2023-02-19
E0LOJ2,Mid-Size,Honda Accord,2021,West,2023-03-28
UFO277,Mid-Size,Nissan Altima,2021,Central,2023-03-12
E4U0NX,Full-Size,Chevrolet Impala,2021,Central,2023-01-24
JSIOO5,Compact,Toyota Corolla,2023,West,2023-03-31
WXKPR2,SUV,Chevrolet Equinox,2018,East,2023-03-28
GBS303,Truck,Chevrolet Silverado,2020,South,2023-01-05
OIXB6Z,Compact,Honda Civic,2019,West,2023-01-27
SHJ9AA,Compact,Toyota Corolla,2021,West,2023-02-25
MIYB22,Compact,Honda Civic,2021,East,2023-03-21
IUY408,Full-Size,Chrysler 300,2022,North,2023-03-06
EV1IHD,Compact,Hyundai Elantra,2021,Central,2023-02-21
95EIQ6,SUV,Ford Explorer,2019,Central,2023-01-28
353WKV,SUV,Chevrolet Equinox,2021,South,2023-01-09
R8Q1GY,SUV,Chevrolet Equinox,2023,East,2023-03-22
QP1RCO,Mid-Size,Honda Accord,2021,North,2023-02-17
88WWJ2,Truck,Ram 1500,2021,Central,2023-02-11
VB84CP,Compact,Honda Civic,2019,South,2023-03-30
00GB96,Mid-Size,Nissan Altima,2018,South,2023-01-15
0XYQYK,Mid-Size,Nissan Altima,2019,East,2023-01-23
DLKKQE,Truck,Ford F-150,2018,South,2023-03-18
OQGQYO,Full-Size,Chrysler 300,2020,West,2023-01-26
AZUPAD,SUV,Ford Explorer,2023,Central,2023-03-26
C4LPZX,Compact,Honda Civic,2020,Central,2023-03-19
C7J13T,Truck,Chevrolet Silverado,2021,East,2023-01-09
FTI413,Mid-Size,Honda Accord,2023,North,2023-02-11
3GBWW5,Mid-Size,Honda Accord,2022,Central,2023-03-09
W2MEBP,Truck,Ford F-150,2021,South,2023-02-14
ASOJVY,Mid-Size,Toyota Camry,2022,Central,2023-01-20
BR7K2M,Mid-Size,Nissan Altima,2019,South,2023-01-05
J4M5X3,Full-Size,Chrysler 300,2020,East,2023-01-01
36T8CR,Compact,Hyundai Elantra,2020,East,2023-01-17
OD520W,Mid-Size,Honda Accord,2022,East,2023-01-24
VNY9JM,Compact,Hyundai Elantra,2020,North,2023-01-28
D6TVJB,Compact,Honda Civic,2023,East,2023-03-18
24M1UX,SUV,Ford Explorer,2019,East,2023-02-15
GWFHMH,Full-Size,Chevrolet Impala,2019,Central,2023-01-13
6B6F5M,Mid-Size,Toyota Camry,2022,East,2023-01-08
7TREPU,Mid-Size,Honda Accord,2022,Central,2023-01-12
9JCJI8,Mid-Size,Nissan Altima,2022,South,2023-01-29
F9E3OB,Full-Size,Chevrolet Impala,2019,South,2023-03-08
W04GWU,Truck,Chevrolet Silverado,2018,North,2023-01-05
P6PNS7,Truck,Ford F-150,2019,West,2023-02-06
5ZCKAD,Mid-Size,Honda Accord,2020,North,2023-02-10
33DQKC,Mid-Size,Honda Accord,2020,South,2023-01-14
ND08PI,Mid-Size,Toyota Camry,2023,Central,2023-01-06
R8FYDK,Full-Size,Ford Taurus,2023,West,2023-01-21
PNG1YP,Mid-Size,Toyota Camry,2022,East,2023-01-14
PCXIK4,Full-Size,Chrysler 300,2018,Central,2023-03-13
XZJSAI,Full-Size,Chrysler 300,2018,West,2023-03-24
2RW27C,Mid-Size,Nissan Altima,2020,Central,2023-02-26
U9H4UL,Mid-Size,Nissan Altima,2021,West,2023-03-10
25FY7X,Mid-Size,Toyota Camry,2022,East,2023-03-10
TFQ62Q,Compact,Hyundai Elantra,2019,North,2023-03-20
L28K3L,Compact,Toyota Corolla,2018,South,2023-01-09
38XRLC,Full-Size,Chrysler 300,2019,West,2023-03-31
B4XIT5,Mid-Size,Nissan Altima,2022,South,2023-02-11
X6ECXU,Compact,Hyundai Elantra,2023,West,2023-02-18
Y9D7CS,Full-Size,Chrysler 300,2023,North,2023-03-13
3YIV6H,SUV,Toyota RAV4,2021,North,2023-02-14
7XDL5M,Mid-Size,Nissan Altima,2018,South,2023-01-24
8PM42I,SUV,Ford Explorer,2023,South,2023-01-02
2J6AXF,Truck,Ford F-150,2018,Central,2023-01-16
Y9YP3H,Full-Size,Chrysler 300,2019,South,2023-01-08
T8MAPR,Full-Size,Chevrolet Impala,2023,East,2023-02-04
32M1FG,Compact,Honda Civic,2021,East,2023-03-12
VZ3WEY,Truck,Ford F-150,2019,South,2023-01-31
PJM3GU,Mid-Size,Honda Accord,2021,Central,2023-02-23
C0F754,Truck,Ram 1500,2018,West,2023-01-17
M2EKEB,Full-Size,Chrysler 300,2019,North,2023-02-23
NU5BOZ,Compact,Honda Civic,2023,South,2023-03-27
H0UUEG,Compact,Honda Civic,2019,North,2023-01-29
55QVTS,Full-Size,Ford Taurus,2023,South,2023-02-13
ZUEC40,Full-Size,Ford Taurus,2021,West,2023-03-28
HCHUVG,Compact,Honda Civic,2021,Central,2023-02-24
GHPIQA,Full-Size,Chrysler 300,2022,East,2023-02-05
76M2TB,SUV,Ford Explorer,2021,North,2023-01-11
KCZ2WA,Mid-Size,Honda Accord,2018,North,2023-03-26
IQFDKV,Mid-Size,Honda Accord,2023,East,2023-02-24
D9QGA8,Compact,Honda Civic,2020,South,2023-01-06
V51961,SUV,Ford Explorer,2021,East,2023-02-19
44JV95,Mid-Size,Toyota Camry,2021,North,2023-03-29
DEH0OW,SUV,Chevrolet Equinox,2021,South,2023-03-25
FC1KBH,Mid-Size,Nissan Altima,2020,East,2023-01-18
LO6HVJ,Full-Size,Chrysler 300,2023,South,2023-02-07
RKMVVE,Mid-Size,Nissan Altima,2019,South,2023-03-30
FI6LUQ,Compact,Hyundai Elantra,2021,South,2023-03-12
MBP97K,SUV,Chevrolet Equinox,2021,North,2023-02-20
TK7T74,Mid-Size,Toyota Camry,2021,South,2023-01-28
LQUI3U,Mid-Size,Honda Accord,2018,South,2023-03-10
HR3PZ9,Truck,Ram 1500,2020,Central,2023-02-22
M9OU1C,Truck,Chevrolet Silverado,2018,Central,2023-02-17
ZUX8R7,SUV,Toyota RAV4,2021,East,2023-03-25
UHXG6F,Compact,Toyota Corolla,2022,South,2023-02-03
R3ARSM,Full-Size,Chevrolet Impala,2021,East,2023-02-26
YLNJW5,SUV,Ford Explorer,2022,West,2023-01-04
GOII8Z,Mid-Size,Toyota Camry,2020,South,2023-03-06
8WXZX3,Compact,Honda Civic,2019,West,2023-02-19
LDRABB,SUV,Chevrolet Equinox,2020,Central,2023-03-20
CZV7KL,Mid-Size,Honda Accord,2019,East,2023-01-30
R270S9,Full-Size,Chevrolet Impala,2022,North,2023-03-25
GQIFO1,Truck,Chevrolet Silverado,2022,North,2023-02-21
L3VZI5,Full-Size,Chevrolet Impala,2020,Central,2023-01-19
HN2YKJ,Mid-Size,Honda Accord,2022,East,2023-01-15
PQCIFF,Mid-Size,Toyota Camry,2018,South,2023-01-18
MBYYH5,Mid-Size,Toyota Camry,2018,West,2023-01-28
VLGP8A,Compact,Toyota Corolla,2019,Central,2023-02-19
AO7K0U,SUV,Ford Explorer,2020,East,2023-03-20
H6FSXY,SUV,Chevrolet Equinox,2019,South,2023-03-31
4ZXFLM,Mid-Size,Honda Accord,2021,Central,2023-03-03
NEDP05,Mid-Size,Honda Accord,2022,North,2023-02-14
7R6QRH,SUV,Chevrolet Equinox,2020,Central,2023-02-25
WLR7TK,Compact,Toyota Corolla,2020,East,2023-01-30
Y0VBIE,Mid-Size,Toyota Camry,2018,North,2023-01-23
8LR69H,Mid-Size,Nissan Altima,2019,South,2023-02-18
40WGYW,Full-Size,Chrysler 300,2022,West,2023-03-16
QVHWFK,Compact,Toyota Corolla,2022,West,2023-01-06
RF65RU,Full-Size,Chevrolet Impala,2018,North,2023-01-10
KH8O8C,Mid-Size,Toyota Camry,2018,West,2023-01-16
DR2P4E,Full-Size,Chevrolet Impala,2022,Central,2023-01-19
4PKX27,Compact,Toyota Corolla,2019,West,2023-01-14
DZLSQ1,Mid-Size,Honda Accord,2021,West,2023-01-12
OKRY4A,Mid-Size,Nissan Altima,2022,North,2023-01-03
UCWW4G,Compact,Hyundai Elantra,2022,West,2023-02-01
2YXWTC,Compact,Hyundai Elantra,2021,West,2023-03-06
3ODW8Z,Compact,Honda Civic,2020,North,2023-01-15
I34LS4,Mid-Size,Honda Accord,2022,South,2023-01-30
FMQAGV,Compact,Honda Civic,2022,Central,2023-03-29
JIKEWJ,Truck,Ford F-150,2023,Central,2023-01-16
X3R6H8,Mid-Size,Honda Accord,2021,North,2023-03-30
LK9Q02,SUV,Ford Explorer,2023,West,2023-02-16
QLRNOI,Truck,Chevrolet Silverado,2022,East,2023-03-07
6U2XML,Compact,Toyota Corolla,2018,East,2023-01-30
9AK0TW,Full-Size,Chrysler 300,2019,East,2023-01-30
AHVLQ8,SUV,Toyota RAV4,2022,Central,2023-02-05
WWHV8X,Full-Size,Chrysler 300,2018,East,2023-01-12
286MKK,Mid-Size,Toyota Camry,2022,East,2023-01-29
1N32XE,Mid-Size,Toyota Camry,2020,West,2023-03-22
ZHTICW,Compact,Hyundai Elantra,2019,East,2023-01-01
QXRNAJ,Mid-Size,Nissan Altima,2021,Central,2023-02-21
51QB90,Truck,Chevrolet Silverado,2023,South,2023-03-03
AHG68O,Truck,Ford F-150,2023,Central,2023-01-13
GXJEJJ,Compact,Honda Civic,2020,West,2023-01-10
BZMTT1,Full-Size,Ford Taurus,2018,Central,2023-02-19
1U4UA4,Mid-Size,Nissan Altima,2023,South,2023-01-20
1PN6PN,Truck,Chevrolet Silverado,2023,East,2023-03-30
0LO2IA,Compact,Toyota Corolla,2021,North,2023-01-18
MGNCVS,Truck,Ram 1500,2021,Central,2023-01-12
JWFARF,SUV,Toyota RAV4,2021,Central,2023-01-30
4KPKPD,Compact,Toyota Corolla,2018,South,2023-01-30
7GO4PZ,Compact,Toyota Corolla,2018,North,2023-01-15
CK1JOC,SUV,Ford Explorer,2018,West,2023-03-01
SM4O36,Compact,Hyundai Elantra,2023,West,2023-02-01
40VRCE,Mid-Size,Honda Accord,2018,East,2023-02-17
NXA79C,Truck,Chevrolet Silverado,2021,North,2023-01-22
D4HGGZ,Full-Size,Chrysler 300,2020,Central,2023-01-09
EGOV9I,Mid-Size,Toyota Camry,2018,East,2023-01-06
JTPVIW,Mid-Size,Toyota Camry,2023,West,2023-01-05
7Y0C6Z,Compact,Hyundai Elantra,2018,Central,2023-03-20
WFTYWE,Truck,Chevrolet Silverado,2023,East,2023-01-24
BRZNY8,Mid-Size,Toyota Camry,2022,North,2023-01-28
6W0DDZ,Compact,Hyundai Elantra,2022,Central,2023-02-22
2GVKDN,Mid-Size,Toyota Camry,2018,West,2023-01-09
Q157D7,Truck,Ram 1500,2023,Central,2023-02-24
SGXCQ3,Compact,Hyundai Elantra,2021,West,2023-02-16
8KGUF9,SUV,Toyota RAV4,2020,Central,2023-03-13
LGIN05,Full-Size,Ford Taurus,2022,Central,2023-01-12
0XJ79W,SUV,Ford Explorer,2020,South,2023-01-02
2KQ2P1,Truck,Ram 1500,2019,North,2023-03-11
47KRNS,SUV,Chevrolet Equinox,2019,North,2023-02-03
0LIJ19,Truck,Chevrolet Silverado,2021,West,2023-01-06
D9BTE8,Compact,Toyota Corolla,2021,South,2023-02-20
1MY4HW,SUV,Chevrolet Equinox,2019,East,2023-02-11
KZUZWW,Mid-Size,Honda Accord,2019,West,2023-03-27
D4GOS4,Mid-Size,Toyota Camry,2023,East,2023-03-26
WGKHVZ,SUV,Toyota RAV4,2021,North,2023-02-18
Z1Z66J,Truck,Ford F-150,2023,South,2023-01-15
KCJSX5,Full-Size,Chrysler 300,2019,North,2023-03-09
V8T43R,Mid-Size,Nissan Altima,2019,South,2023-01-19
55LHE7,Mid-Size,Honda Accord,2019,West,2023-03-17
PUJOOU,Mid-Size,Toyota Camry,2021,East,2023-02-24
G2OIAD,Mid-Size,Honda Accord,2022,West,2023-02-01
J048KW,Mid-Size,Honda Accord,2021,North,2023-03-30
JFTX1E,Compact,Honda Civic,2019,West,2023-02-16
0KKBHR,Compact,Toyota Corolla,2023,East,2023-02-04
GLTD5L,SUV,Chevrolet Equinox,2021,South,2023-01-18
1X1KGF,Mid-Size,Toyota Camry,2020,West,2023-02-28
ITW183,Truck,Chevrolet Silverado,2018,North,2023-01-25
MQ8ZP3,Full-Size,Ford Taurus,2021,East,2023-01-14
EY8SWC,Compact,Honda Civic,2021,East,2023-01-11
VK9LLO,Compact,Hyundai Elantra,2023,North,2023-02-27
Z8MH1T,Compact,Hyundai Elantra,2019,Central,2023-03-24
Q9RW9H,Truck,Ram 1500,2018,South,2023-01-23
68QMFB,Compact,Hyundai Elantra,2023,North,2023-01-20
9PYIL3,Mid-Size,Nissan Altima,2021,East,2023-02-25
XHA3CB,Truck,Ford F-150,2018,Central,2023-01-13
K7XB77,Truck,Ford F-150,2018,West,2023-01-08
ZCA533,Compact,Honda Civic,2020,West,2023-02-27
RVGBHW,Compact,Honda Civic,2021,Central,2023-02-17
OWPU8W,Compact,Hyundai Elantra,2019,North,2023-01-03
88W9IS,Compact,Toyota Corolla,2020,East,2023-01-22
CDEEOZ,Compact,Toyota Corolla,2022,South,2023-01-18
99GPPD,Full-Size,Chrysler 300,2023,West,2023-03-03
BM4NN9,Truck,Ram 1500,2020,Central,2023-03-01
NY9ESM,Mid-Size,Toyota Camry,2020,North,2023-03-09
EBXXUY,Full-Size,Chevrolet Impala,2020,North,2023-01-09
ZCBMU6,Compact,Honda Civic,2018,Central,2023-03-18
93KUER,SUV,Chevrolet Equinox,2018,East,2023-01-19
D9QZD8,Full-Size,Chevrolet Impala,2023,South,2023-03-31
SCNHCB,SUV,Chevrolet Equinox,2018,North,2023-03-20
Z5XYBG,Truck,Ram 1500,2022,South,2023-02-11
B9086I,Mid-Size,Nissan Altima,2019,North,2023-03-12
SX0YQA,Compact,Hyundai Elantra,2022,South,2023-03-02
7Y4HD6,Compact,Honda Civic,2023,North,2023-03-11
34P6I1,Mid-Size,Nissan Altima,2022,North,2023-01-02
RFZMFZ,Truck,Ford F-150,2022,Central,2023-01-08
1L8ZAM,Mid-Size,Toyota Camry,2019,West,2023-03-23
9G8SYY,SUV,Ford Explorer,2021,Central,2023-03-12
SSUX0P,Mid-Size,Nissan Altima,2021,South,2023-02-25
P21XQU,Compact,Honda Civic,2020,South,2023-01-29
UPGTPB,Mid-Size,Toyota Camry,2018,South,2023-02-07
8YEHU4,Full-Size,Chrysler 300,2023,East,2023-02-05
R3ET34,Full-Size,Chevrolet Impala,2019,North,2023-02-09
IYBF60,Mid-Size,Honda Accord,2023,South,2023-02-26
H99BAI,Compact,Toyota Corolla,2023,Central,2023-03-10
2VSORW,Full-Size,Chevrolet Impala,2018,South,2023-02-04
CVH2HC,Compact,Toyota Corolla,2022,West,2023-03-17
PPS4ZN,Truck,Ford F-150,2021,South,2023-01-09
0SIAAI,Compact,Honda Civic,2019,Central,2023-03-14
3QQOJZ,Compact,Toyota Corolla,2022,West,2023-03-02
AW75N4,Mid-Size,Toyota Camry,2018,Central,2023-02-15
IIMAJ4,Mid-Size,Honda Accord,2019,East,2023-02-03
1LLMEF,Mid-Size,Honda Accord,2023,Central,2023-02-03
9YYK4G,Mid-Size,Honda Accord,2022,South,2023-02-02
8SL1PJ,Truck,Chevrolet Silverado,2018,East,2023-03-27
YZVQLO,Mid-Size,Nissan Altima,2018,North,2023-01-03
5M8FFL,Mid-Size,Nissan Altima,2019,North,2023-02-27
A5MDW8,Mid-Size,Toyota Camry,2018,West,2023-03-31
9D2N4V,Compact,Hyundai Elantra,2019,South,2023-02-18
046F0F,Full-Size,Ford Taurus,2021,North,2023-02-27
7WGK6X,Compact,Honda Civic,2018,South,2023-02-23
I3ZCK4,Full-Size,Chrysler 300,2019,South,2023-02-15
MBV6U9,Compact,Toyota Corolla,2019,West,2023-02-26
EYX9S3,Truck,Chevrolet Silverado,2023,North,2023-03-23
FBZA5A,Mid-Size,Nissan Altima,2023,North,2023-03-06
YQXWPR,SUV,Toyota RAV4,2023,West,2023-03-18
SYZQMB,Mid-Size,Toyota Camry,2020,North,2023-02-19
2IP92M,Compact,Honda Civic,2021,East,2023-03-11
RLWF89,SUV,Ford Explorer,2021,West,2023-03-20
KITXXB,Full-Size,Chevrolet Impala,2023,East,2023-01-20
ZCMZ5W,SUV,Ford Explorer,2022,North,2023-03-19
FYBIE9,Mid-Size,Honda Accord,2023,West,2023-03-03
NU289F,Full-Size,Chrysler 300,2021,North,2023-02-09
OO2MI1,SUV,Chevrolet Equinox,2023,South,2023-03-11
R0NRAA,Full-Size,Ford Taurus,2022,North,2023-01-16
AGMBF4,Mid-Size,Nissan Altima,2022,East,2023-03-04
4K8EBM,Full-Size,Ford Taurus,2021,West,2023-02-21
JC49JL,Full-Size,Chrysler 300,2020,West,2023-03-21
Z7KYAU,Truck,Chevrolet Silverado,2021,North,2023-02-25
9RXYWY,Mid-Size,Toyota Camry,2020,South,2023-02-17
5A566N,Mid-Size,Honda Accord,2021,North,2023-02-17
UM4OLY,SUV,Chevrolet Equinox,2019,South,2023-02-19
BNHNQC,Mid-Size,Honda Accord,2022,South,2023-03-22
5OMF94,Full-Size,Chrysler 300,2021,West,2023-03-12
RMQ8HY,Mid-Size,Toyota Camry,2022,West,2023-01-09
6158CI,Compact,Honda Civic,2019,Central,2023-02-17
FUOBUD,Full-Size,Ford Taurus,2022,South,2023-01-26
ON6YW3,Compact,Toyota Corolla,2022,North,2023-01-15
GJ10AI,Compact,Honda Civic,2018,North,2023-03-19
IAXB4V,Full-Size,Chrysler 300,2020,Central,2023-03-19
1R8JUA,Full-Size,Ford Taurus,2022,Central,2023-03-26
3UG39C,SUV,Ford Explorer,2023,South,2023-02-05
40MW2R,Mid-Size,Toyota Camry,2022,Central,2023-02-08
XB77HR,Compact,Honda Civic,2020,East,2023-03-12
IOJ5Z4,Truck,Ram 1500,2019,North,2023-01-18
20F32E,Compact,Toyota Corolla,2023,South,2023-01-05
D1OLO5,Compact,Toyota Corolla,2023,South,2023-02-07
NNOBBO,Mid-Size,Nissan Altima,2023,West,2023-02-26
A1PSM1,Mid-Size,Toyota Camry,2019,North,2023-02-11
PBRGVU,SUV,Ford Explorer,2020,North,2023-01-20
RNVY58,SUV,Ford Explorer,2019,West,2023-02-16
CXDP0T,Full-Size,Chrysler 300,2023,South,2023-03-26
369YY2,Compact,Honda Civic,2023,South,2023-01-25
IKM0MF,Mid-Size,Toyota Camry,2019,Central,2023-02-06
20V526,Mid-Size,Toyota Camry,2019,Central,2023-01-29
JEM37D,Compact,Hyundai Elantra,2021,East,2023-01-27
4R3YCR,Mid-Size,Nissan Altima,2020,Central,2023-03-01
DM1YZX,Mid-Size,Toyota Camry,2020,Central,2023-02-03
AURTHZ,Compact,Toyota Corolla,2020,East,2023-02-25
VOCCMT,Full-Size,Chevrolet Impala,2022,Central,2023-01-02
90RKGF,Full-Size,Chrysler 300,2023,North,2023-03-01
C6A5VW,Compact,Toyota Corolla,2023,North,2023-01-10
82F8GU,Mid-Size,Toyota Camry,2020,Central,2023-02-03
XIWW96,SUV,Chevrolet Equinox,2022,North,2023-03-20
OY3AY7,Full-Size,Ford Taurus,2022,West,2023-01-31
E1CO39,SUV,Chevrolet Equinox,2019,East,2023-03-04
0ZJ3X7,Mid-Size,Nissan Altima,2022,West,2023-02-01
VBS12N,SUV,Ford Explorer,2020,West,2023-03-23
G535Y3,Compact,Honda Civic,2021,North,2023-03-27
O2R2FK,Mid-Size,Honda Accord,2022,South,2023-03-23
HO3E03,Compact,Toyota Corolla,2023,West,2023-02-05
YXEWII,Mid-Size,Nissan Altima,2023,Central,2023-01-29
5W9QM9,Mid-Size,Honda Accord,2022,Central,2023-02-24
W5BS33,Compact,Honda Civic,2021,Central,2023-03-15
